ID,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,stage3_flow_deviation,stage3_density_deviation,stage3_viscosity_deviation,stage3_co2_deviation,stage3_o2_deviation,stage3_n_deviation,target
18,2.800724708,3.551405879,-1.322679376,-3.440437682,0.130673916,0.776436164,-0.358358305,-0.485770388,3.461660004,-0.658347339,-0.781153017,-0.075894647,0
19,-5.421483586,-9.748759216,-0.618174272,-1.414314978,0.567474809,2.196043068,-1.665518379,-0.532432176,-1.946295017,-0.077129053,-3.077419327,2.196043068,0
20,3.184738131,5.267843282,-2.662491451,-2.914595054,-0.497995473,-5.791688688,4.367635394,5.330637031,3.929441911,1.48228198,-3.400310724,-5.791688688,0
21,-7.745079575,-10.95874226,-0.394934211,-4.858606454,1.257371206,0.47287591,2.872447586,2.867124056,-5.425673004,-3.436025082,-2.911548618,0.47287591,0
22,-3.785386891,7.013272735,-0.52864125,0.847501805,-0.296132857,1.628327573,1.377259778,-1.102339647,-5.52600912,1.587968476,1.613642608,1.628327573,1
23,-13.50388932,-2.519009168,-0.769695097,2.519016712,-1.849636919,-1.693208205,4.678896596,-0.070247733,-5.626345236,0.06538382,0.470978052,-1.693208205,0
24,2.697188529,6.354880231,-1.010748943,3.461360735,-0.802741928,-0.897638848,5.662881904,0.96184418,-3.38869582,-1.457200836,-2.708901168,-0.897638848,0
25,3.585307223,6.540631342,0.541782007,2.566190716,0.047267031,-1.869112125,9.722936114,5.026820161,-1.151046403,2.222370776,-2.773000133,-1.869112125,0
26,-1.158754518,7.742140333,2.094312957,1.671020696,-0.606457869,-1.19166594,14.20168607,4.42978777,1.086603014,4.395679033,-1.961739694,-1.19166594,0
27,-5.902816258,8.943649324,0.36953238,5.986484789,-0.37012706,-1.111601941,5.573815437,0.240967967,-4.749457384,4.768531053,1.525124054,-1.111601941,0
28,2.799483222,-3.972291915,-1.355248196,-2.615801746,0.091596659,0.136856422,-3.054055197,-2.378655028,-0.642729924,-0.864549197,-2.967559313,0.136856422,1
29,11.5017827,-2.867849253,0.015720053,-3.01399494,0.553320378,-4.811197045,-7.040170246,0.697547286,3.178984153,-7.847223194,0.794762411,-4.811197045,0
30,-3.2199592,9.651095375,0.577524882,-3.412188133,0.399391068,-4.262015655,-8.426929522,-2.140775891,1.564101698,4.736884662,0.231982452,-4.262015655,0
31,-4.005843156,-1.689322111,1.139329711,-1.983680119,-0.303194321,0.943788681,-5.644550908,-1.179717085,0.042267453,0.356315054,-1.017035467,0.943788681,1
32,-4.791727111,4.587520514,1.049889278,-1.904616334,-1.780681191,-1.322171602,-1.529898673,-1.979433344,-1.479566792,4.36046974,0.495234669,-1.322171602,0
33,-0.006681023,1.94430339,2.760464551,-2.062903078,-0.053869107,-0.907188004,2.584753563,3.767102228,0.167748814,2.033691035,-0.869866374,-0.907188004,1
