ID,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,stage3_flow_deviation,stage3_density_deviation,stage3_viscosity_deviation,stage3_co2_deviation,stage3_o2_deviation,stage3_n_deviation,stage4_flow_deviation,stage4_density_deviation,stage4_viscosity_deviation,stage4_co2_deviation,stage4_o2_deviation,stage4_n_deviation,target
62,-0.721157191,-4.013190275,1.100174997,2.202668845,-2.841665624,0.700789516,7.618440213,2.950080189,-1.158619184,-0.653037059,2.847202396,0.542979145,-2.076306314,-1.069813003,-0.721157191,3.596219882,-1.892587247,0.946239448,0
63,2.997839496,-1.091997447,-2.689494197,-4.919300106,1.64173647,2.652798525,-1.532589116,0.836774215,-0.639333982,2.268070764,-4.436545957,2.652798525,0.478174854,3.079746345,2.997839496,2.596862525,-2.939670958,0.661534132,0
64,4.895314744,-0.053510741,-4.523642105,-2.185343987,-0.402196752,-2.481122776,9.723794216,5.468227781,-0.12004878,5.305604945,-2.575961498,-2.481122776,-5.18176763,6.892283663,-2.09675435,-12.42495592,-2.627310747,-0.842354444,0
65,6.792789992,12.46923623,-2.57044165,1.735090641,0.664474015,-2.38409664,10.481767,-0.932122301,1.804965511,4.371898187,-0.715377039,-2.38409664,-3.016543683,4.403299249,6.792789992,-9.311364862,4.293914717,-0.05629757,0
66,-0.801309127,2.5487321,-0.28485932,-1.717575241,0.170138811,-1.644301122,6.343913718,4.26840245,0.754038867,1.807061751,-1.327859727,-1.644301122,-0.851319737,5.61723357,-0.801309127,-2.816304609,1.171690101,1.207362729,0
67,-2.707663228,-13.75381535,0.980692113,-4.110878458,-0.324196393,-0.899261865,-14.10327779,0.753081694,-0.84603444,-5.152070364,-0.031746782,-0.899261865,-0.478505635,-1.683627151,-2.707663228,4.317224385,-1.950534515,-0.942271497,0
68,-2.739281596,-1.774711764,2.246243546,4.326818948,1.239079283,-1.783726755,2.716990623,1.744881537,-2.446107747,-2.902761288,2.72416654,-2.115968783,5.247426812,-6.411305118,-2.739281596,8.963814636,-2.352944467,0.961057601,0
69,11.11483641,3.324263719,-4.652627458,0.353619631,0.172166868,-2.668191644,4.085212106,-1.147322864,3.613972905,-0.653452213,-3.77190729,-2.668191644,4.662947339,-2.742767579,11.11483641,0.338956051,-2.755354419,0.615371857,1
70,-10.57051674,-5.647174511,4.041457793,-3.619579686,-1.300640537,-0.92905036,6.232426936,-0.265946089,3.544847299,3.35655371,0.625626893,-0.92905036,1.92833134,-1.639053153,-10.57051674,-1.301426116,-3.505219322,0.368111798,1
71,5.115246288,4.387173897,-1.804564503,-0.317098195,0.075410531,1.64472964,8.379641767,-3.657227214,1.555424025,3.862377227,2.742115238,1.64472964,1.077785779,1.749776496,5.115246288,-2.975837015,2.816267087,0.120851739,1
