ID,stage1_flow_deviation,stage1_density_deviation,stage1_viscosity_deviation,stage1_co2_deviation,stage1_o2_deviation,stage1_n_deviation,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,target
21,-1.121254251,2.624608319,-2.253542342,-0.842016746,-1.147533886,-0.239058627,-7.745079575,-10.95874226,-0.394934211,-4.858606454,1.257371206,0.47287591,0
22,-1.346426634,-0.51895519,-2.995028693,0.856630166,1.353474092,1.092511819,-3.785386891,7.013272735,-0.52864125,0.847501805,-0.296132857,1.628327573,1
23,-1.786970579,-5.129705614,-4.173119739,-0.272060959,-0.309672975,0.578094362,-13.50388932,-2.519009168,-0.769695097,2.519016712,-1.849636919,-1.693208205,0
24,-2.227514524,-2.823252851,-3.676571673,-1.400752084,-0.699567699,0.167124902,2.697188529,6.354880231,-1.010748943,3.461360735,-0.802741928,-0.897638848,0
25,-3.251782392,-3.442686099,-0.021528025,-2.495639603,-1.089462424,1.162928752,3.585307223,6.540631342,0.541782007,2.566190716,0.047267031,-1.869112125,0
26,-4.276050261,-3.780638113,-1.20164175,2.534954684,1.85648721,-2.593986097,-1.158754518,7.742140333,2.094312957,1.671020696,-0.606457869,-1.19166594,0
27,-2.251947339,-9.488808435,-0.885551208,5.680726557,-0.300966212,-0.619618306,-5.902816258,8.943649324,0.36953238,5.986484789,-0.37012706,-1.111601941,0
28,-1.853505695,-3.683040541,1.803224492,5.776568321,2.543704296,0.689132786,2.799483222,-3.972291915,-1.355248196,-2.615801746,0.091596659,0.136856422,1
29,-1.455064052,2.122727353,-4.477838287,5.872410085,-0.792850945,0.838928539,11.5017827,-2.867849253,0.015720053,-3.01399494,0.553320378,-4.811197045,0
30,-1.056622408,5.846602493,1.051445065,5.968251848,-0.484213263,-0.172132101,-3.2199592,9.651095375,0.577524882,-3.412188133,0.399391068,-4.262015655,0
31,-2.363638813,1.070422001,-0.85012913,6.064093612,0.344197166,-1.183192741,-4.005843156,-1.689322111,1.139329711,-1.983680119,-0.303194321,0.943788681,1
32,0.879957951,-0.613836004,-2.087540908,6.159935376,-0.134350151,0.784053489,-4.791727111,4.587520514,1.049889278,-1.904616334,-1.780681191,-1.322171602,0
33,-3.658026366,0.132890139,-1.503908716,4.061799826,0.280936568,-1.173250319,-0.006681023,1.94430339,2.760464551,-2.062903078,-0.053869107,-0.907188004,1
34,-0.104533695,-0.344813024,0.379457121,1.963664276,-0.371539498,-0.939595025,0.917976302,-0.698913733,1.610893128,4.392532609,0.446786117,-0.612278643,0
35,-0.904485384,-0.822516187,0.62655699,-1.105025507,1.094074414,-1.735362722,-2.857720564,11.4985727,0.461321704,2.31436175,0.510761643,-4.278462454,0
36,-1.704437073,-4.818148144,2.467995663,0.493227145,0.841794747,1.358599881,4.714163891,0.709783082,-0.688249719,5.602105365,0.119176725,-0.762717726,0
37,-1.2497003,2.730027274,-1.516994777,2.091479797,0.439179847,-1.616384984,-5.677066469,-10.07900653,0.127088005,4.678467209,-0.07022739,0.968843039,0
38,-0.794963526,-2.266884143,2.039539322,3.689732448,-1.770129455,-1.478738942,0.283358186,0.4912871,0.942425729,3.754829052,-0.259631506,-3.207420711,0
39,-0.340226752,-2.216123556,-0.341095719,-2.353953536,-0.925495727,-1.157713824,7.918303351,-7.408977823,1.757763453,2.831190895,-0.714345734,-1.909569708,0
40,0.114510021,-1.38047216,-2.72173076,-1.95814876,-0.080862,-0.710872607,-0.037873693,-0.246139543,2.573101178,3.161940119,-0.214478146,-0.362505867,0
41,0.569246795,-1.137519079,2.641426391,-0.011195265,0.701146155,-0.991108172,6.20562927,-11.79408269,-3.136400787,1.477479597,0.001595628,-0.598891346,1
42,1.023983569,0.6269319,1.386421774,2.782521724,1.48315431,1.231535234,6.554174654,-9.358003715,-0.943194614,3.838431492,-0.141133871,1.234379948,0
43,1.478720342,0.416385297,-3.130901264,0.155089749,1.006302797,1.718567981,-14.02129858,-0.979171613,1.25001156,1.207123895,2.464723267,3.067651242,1
44,1.933457116,0.009686521,-4.618413554,-1.018016168,-0.250593657,0.864835031,3.726569863,7.399660488,-2.751594147,1.5005661,0.753527826,4.11690991,0
45,-0.477371138,1.072040876,0.459370541,-2.191122085,-0.082968308,-0.576625849,6.863649245,-6.469913087,-2.537032333,-2.80103962,0.263278444,-0.817056135,0
46,-2.888199391,-1.944569279,-0.70180873,-2.486287482,-0.052529378,-1.712927714,-5.286959205,1.445807002,-2.322470519,2.986990788,0.617430254,1.173704328,0
47,-1.20708863,-0.094464004,-1.862988001,-2.781452879,2.054019293,-1.480278181,-3.261932913,9.748609082,-0.523605595,1.240583986,0.610464209,3.164464791,0
48,0.47402213,0.302594487,1.10040275,-3.076618275,0.168184032,-0.597670856,1.068823761,-6.114903636,-1.147921168,1.998658804,-0.943020204,-0.42386984,0
49,-1.433471079,-2.038603371,0.657184412,-1.323553026,0.342405998,1.299591773,3.589202966,3.22146204,-0.413586317,2.756733623,0.313383853,0.272100721,0
50,-0.885406669,-0.456536646,-2.087918953,-0.109130623,-2.188387602,-0.366101863,0.781930075,9.658529032,0.320748533,2.542580492,0.703977,0.476625416,0
51,2.694065725,2.247558331,-2.037757534,0.971776821,1.318463173,1.862261565,-8.621973393,-1.640422013,-0.579787233,-1.771136735,1.094570147,-6.77663303,1
52,-1.569804316,-3.176539416,-7.736396021,2.052684266,0.408576018,-2.069189654,-6.446382907,23.35145965,-1.480322999,5.712569471,0.352449748,-1.535689764,1
